Price,Close,High,Low,Open,Volume,Date
170.62464904785156,170.62464904785156,170.87986403815188,166.3644205106048,166.8257816310479,785000,2022-10-25
170.33013916015625,170.33013916015625,173.46149892495197,170.10435652792373,171.2626720578718,704600,2022-10-26
173.16700744628906,173.16700744628906,174.2173295375273,169.43686095176233,170.57553993041574,753900,2022-10-27
177.79043579101562,177.79043579101562,178.22234959355362,173.56949539670234,173.687284623473,625100,2022-10-28
179.468994140625,179.468994140625,183.4249084876406,177.0345887682192,178.36958816178685,1405600,2022-10-31
178.13397216796875,178.13397216796875,181.69724535039458,177.08363517766867,180.10701621453282,779400,2022-11-01
166.21717834472656,166.21717834472656,175.3363920349449,166.1680945079467,169.4466911001785,1814100,2022-11-02
162.32992553710938,162.32992553710938,165.34349556222583,162.0550740989054,164.04775451502422,1087200,2022-11-03
163.45880126953125,163.45880126953125,164.50912324824606,159.9446120260008,163.57659046908935,1061300,2022-11-04
165.39260864257812,165.39260864257812,165.53984516113246,163.3999278739685,164.61712303610483,895400,2022-11-07
167.4638214111328,167.4638214111328,169.47612374040952,164.6073131101804,166.1877166567086,773900,2022-11-08
166.74720764160156,166.74720764160156,169.36812217552313,165.8932059896161,167.01224831846216,854500,2022-11-09
177.78060913085938,177.78060913085938,178.27141750293083,172.41116434213487,173.77561101736222,1386200,2022-11-10
174.99281311035156,174.99281311035156,177.78060094049607,174.2271532834567,177.78060094049607,880800,2022-11-11
170.7816619873047,170.7816619873047,175.49342494197856,170.60497817841667,174.85538010550752,1209700,2022-11-14
173.74615478515625,173.74615478515625,175.11060139026998,171.44917531668256,173.72651825736324,1830900,2022-11-15
171.30194091796875,171.30194091796875,175.0615350273671,170.47738640777413,173.74617212134947,1609300,2022-11-16
167.10064697265625,167.10064697265625,170.27128046317276,164.72513578277972,169.3878162330014,1960700,2022-11-17
170.3497772216797,170.3497772216797,170.90930600151137,167.56198903344128,169.24056039465228,1266600,2022-11-18
176.64193725585938,176.64193725585938,177.65300134494908,170.712978471927,170.8013203876843,1205000,2022-11-21
175.36581420898438,175.36581420898438,178.35974808407488,175.10078848926628,177.03457455063872,990900,2022-11-22
176.74008178710938,176.74008178710938,178.27140137289297,174.7768484764573,175.46397713952925,629300,2022-11-23
179.5082244873047,179.5082244873047,180.29352077012814,176.69098961264186,177.66279544769247,454800,2022-11-25
174.2762451171875,174.2762451171875,179.96962571735187,174.06030319496895,178.28124357430414,828500,2022-11-28
173.67745971679688,173.67745971679688,174.63945500106684,171.46882183436122,172.33264944365368,791000,2022-11-29
180.33277893066406,180.33277893066406,181.0297182776354,173.48108478157172,173.74612543802257,2044500,2022-11-30
182.7181396484375,182.7181396484375,184.22982283977697,181.49111872166483,181.9132217091817,875500,2022-12-01
182.03099060058594,182.03099060058594,183.0420545330945,177.51554810291736,180.38186687042796,848500,2022-12-02
179.78306579589844,179.78306579589844,180.6272566311039,178.75238039726892,180.33278364765542,861300,2022-12-05
178.69349670410156,178.69349670410156,180.22483133123038,177.91802610490225,179.78309183551667,874500,2022-12-06
179.59657287597656,179.59657287597656,181.85427898723492,177.82966006771693,177.82966006771693,869100,2022-12-07
178.8309326171875,178.8309326171875,180.45060924429976,177.66282126453936,179.18431524689535,640100,2022-12-08
179.15484619140625,179.15484619140625,180.23463047838442,177.49592666436692,178.8309109053128,928200,2022-12-09
178.5560760498047,178.5560760498047,180.7647136781308,175.60141510364795,180.19538915927313,908800,2022-12-12
181.30459594726562,181.30459594726562,185.70223443479932,179.5376829456685,185.3979356636346,707100,2022-12-13
179.90834045410156,179.90834045410156,184.15604553188018,178.06963620779908,181.48157344792284,771600,2022-12-14
173.64498901367188,173.64498901367188,179.229939363026,173.1533554264344,178.6301457864576,1195100,2022-12-15
172.09141540527344,172.09141540527344,174.32342096338712,171.59978184566796,172.26839628506792,1877300,2022-12-16
170.32150268554688,170.32150268554688,172.86816049129033,168.82693271701223,171.89473581068472,833900,2022-12-19
169.30873107910156,169.30873107910156,170.60663559425151,167.68633168083622,170.14449894778767,719600,2022-12-20
173.1729736328125,173.1729736328125,173.8612725133014,169.10224898473146,170.5574949001151,689600,2022-12-21
171.56040954589844,171.56040954589844,171.68823904775783,168.3254679514844,171.41292550795504,653400,2022-12-22
172.6715087890625,172.6715087890625,172.92715279348252,170.38049500709585,170.6164844751117,470600,2022-12-23
172.6223602294922,172.6223602294922,173.66462089790488,171.40311869442726,172.85834972182627,497900,2022-12-27
171.31460571289062,171.31460571289062,174.63805298377375,171.0786312344134,172.62235262715254,572400,2022-12-28
175.08053588867188,175.08053588867188,176.0736452531726,171.68826742414066,171.68826742414066,506900,2022-12-29
173.4679718017578,173.4679718017578,174.8248851368819,171.1573032277958,173.67446448454544,617700,2022-12-30
174.37257385253906,174.37257385253906,176.3489502117275,173.07466915722514,174.4315674745809,644400,2023-01-03
177.23385620117188,177.23385620117188,178.60059657257085,175.7097895271823,176.83071317708172,603200,2023-01-04
174.66754150390625,174.66754150390625,176.06377878133205,173.4089610002136,175.83763158236965,693300,2023-01-05
179.8198699951172,179.8198699951172,180.44916026179934,175.0215223345012,176.50625007215942,728700,2023-01-06
179.0037841796875,179.0037841796875,182.06174555690205,178.83663056785164,179.9378849533423,1095800,2023-01-09
180.4688262939453,180.4688262939453,180.812975760044,177.35187157110377,177.97133460869568,403000,2023-01-10
183.34982299804688,183.34982299804688,183.3989893552579,180.42951842060774,181.42261282102118,687100,2023-01-11
179.89852905273438,179.89852905273438,183.67427056675155,178.70876943325058,183.06463485106175,657900,2023-01-12
180.87193298339844,180.87193298339844,181.2357519180931,178.99388971021318,179.20038234901077,493000,2023-01-13
178.53179931640625,178.53179931640625,180.5671542379487,178.10898669767852,179.8493735171597,829200,2023-01-17
177.66653442382812,177.66653442382812,180.58683890657323,176.87991774435585,178.90544556665793,662500,2023-01-18
175.32632446289062,175.32632446289062,177.6468350254414,174.71670376539888,176.66356809221585,792300,2023-01-19
178.57110595703125,178.57110595703125,178.9349099163552,173.41878189453195,173.9300848939464,832700,2023-01-20
182.2583770751953,182.2583770751953,184.28390475415452,178.60062252744726,179.29874871948343,832600,2023-01-23
180.28201293945312,180.28201293945312,182.4058582861318,179.55438994816427,182.07155110234936,799500,2023-01-24
177.0962371826172,177.0962371826172,177.9320202152348,173.821955953965,177.72552752364112,941100,2023-01-25
177.96148681640625,177.96148681640625,178.62027385818178,175.985110687617,178.0303076996107,809600,2023-01-26
177.13552856445312,177.13552856445312,178.29579132483082,175.90644492189247,177.174867642954,1005200,2023-01-27
176.40792846679688,176.40792846679688,177.73532985750123,175.53282147465677,177.11588187655778,1074300,2023-01-30
178.7480926513672,178.7480926513672,178.80710127141225,176.12277168922586,176.9880514083303,1142000,2023-01-31
181.07846069335938,181.07846069335938,182.44520127131926,176.38827273733204,178.19748048017053,1138500,2023-02-01
183.89060974121094,183.89060974121094,185.6899902612216,179.14142804153647,181.9044060792672,1130200,2023-02-02
177.0962371826172,177.0962371826172,182.02239993015777,176.8209235961358,181.9732485781516,1522900,2023-02-03
173.9694366455078,173.9694366455078,175.7983140079577,173.2614981536073,175.21819003364755,1662100,2023-02-06
174.89369201660156,174.89369201660156,175.5918181702735,170.1543529995946,171.78657977868747,1432100,2023-02-07
174.7363739013672,174.7363739013672,176.28009518999903,173.60560792222117,174.33323085653785,1179700,2023-02-08
173.2713165283203,173.2713165283203,176.9880646864588,172.62235669030525,175.42467371589316,851200,2023-02-09
173.82196044921875,173.82196044921875,174.43158126312667,172.0127525474197,172.42572293782172,703500,2023-02-10
176.07362365722656,176.07362365722656,176.61440848837876,174.0579233664579,174.0579233664579,889300,2023-02-13
173.8612823486328,173.8612823486328,175.9753004484008,169.4070689276663,175.11002066635498,753700,2023-02-14
174.4512176513672,174.4512176513672,175.8278003612145,172.07171347120942,173.26147306301968,815900,2023-02-15
173.2713165283203,173.2713165283203,174.3135771753641,171.7964159892665,172.07172955627942,679300,2023-02-16
174.1660919189453,174.1660919189453,174.36274232210036,172.07172836685737,173.4679657337613,1829500,2023-02-17
171.7669219970703,171.7669219970703,173.40897615707695,171.039298984618,173.23198028768502,789900,2023-02-21
171.580078125,171.580078125,173.5072878962943,171.11794147074735,172.13070520152334,786300,2023-02-22
170.9901123046875,170.9901123046875,172.52402131103182,168.9055912242034,171.1769354210446,1137600,2023-02-23
168.80728149414062,168.80728149414062,169.39724773094983,166.8997560025154,168.3451597795798,859100,2023-02-24
169.11209106445312,169.11209106445312,170.5378251659853,168.36479856727743,170.5378251659853,1232600,2023-02-27
168.24685668945312,168.24685668945312,169.65292162973097,166.97844856153444,167.5094062653576,1528100,2023-02-28
173.76292419433594,173.76292419433594,181.34390343547216,173.56627381907307,175.7491274924533,2572900,2023-03-01
178.5514373779297,178.5514373779297,178.64977007185217,172.06188467253537,173.34011967275217,1958200,2023-03-02
183.7922821044922,183.7922821044922,184.0282716066233,178.79728350203845,178.90544348174873,1557400,2023-03-03
184.55918884277344,184.55918884277344,186.19141545085068,183.35960205885755,183.5071010917099,1329500,2023-03-06
181.06861877441406,181.06861877441406,186.2799370686814,179.7608868188864,186.1324530145886,1108300,2023-03-07
181.7765655517578,181.7765655517578,182.73033574236476,180.30166505124774,181.07845438345606,1012600,2023-03-08
180.10499572753906,180.10499572753906,184.19538961999137,179.8296821966492,182.17968948039896,985500,2023-03-09
177.12571716308594,177.12571716308594,180.6851389096786,176.66358047180896,179.22990794749995,913200,2023-03-10
177.93199157714844,177.93199157714844,181.28492043074397,176.97822144768068,177.01754552364946,1713300,2023-03-13
178.20782470703125,178.20782470703125,181.76410097937838,176.4641768213254,178.57232855692936,1541200,2023-03-14
